symbol,market,cname,ename
UAL,UW,聯合航空控股公司,UNITED AIRLINES HOLDINGS INC
CSX,UW,CSX Corp,CSX CORP
COIN,UW,比特幣基地全球公司,COINBASE GLOBAL INC -CLASS A
NFLX,UW,網飛公司,NETFLIX INC
ASML,UW,艾司摩爾控股公司,ASML HOLDING NV-NY REG SHS
ARM,UW,安謀控股公開有限公司,ARM HOLDINGS PLC-ADR
ERIC,UW,愛立信集團,ERICSSON (LM) TEL-SP ADR
ISRG,UW,直覺外科公司,INTUITIVE SURGICAL INC
CDNS,UW,Cadence設計系統公司,CADENCE DESIGN SYS INC
BIIB,UW,百健公司,BIOGEN INC
SMCI,UW,超微電腦公司,SUPER MICRO COMPUTER INC
MLCO,UW,新濠博亞娛樂有限公司,MELCO RESORTS & ENTERT-ADR
META,UW,Meta平台公司,META PLATFORMS INC-CLASS A
TXN,UW,德州儀器公司,TEXAS INSTRUMENTS INC
EBAY,UW,電子灣拍賣網站公司,EBAY INC
LRCX,UW,科林研發股份有限公司,LAM RESEARCH CORP
NDAQ,UW,那斯達克有限公司,NASDAQ INC
PYPL,UW,Paypal控股有限公司,PAYPAL HOLDINGS INC
TSLA,UW,特斯拉公司,TESLA INC
VRTX,UW,福泰製藥公司,VERTEX PHARMACEUTICALS INC
MSFT,UW,微軟,MICROSOFT CORP
MSTR,UW,微策略公司,MICROSTRATEGY INC-CL A
ALGN,UW,艾利科技公司,ALIGN TECHNOLOGY INC
AMZN,UW,亞馬遜公司,AMAZON.COM INC
CMCSA,UW,康卡斯特公司,COMCAST CORP-CLASS A
FSLR,UW,第一太陽能,FIRST SOLAR INC
GILD,UW,吉利德科學公司,GILEAD SCIENCES INC
ILMN,UW,伊魯米納公司,ILLUMINA INC
INTC,UW,英特爾,INTEL CORP
TMUS,UW,T-Mobile美國公司,T-MOBILE US INC
GT,UW,固特異輪胎公司,GOODYEAR TIRE & RUBBER CO
CHKP,UW,Check Point軟體技術有限公司,CHECK POINT SOFTWARE TECH
GOOG,UW,Alphabet公司,ALPHABET INC-CL C
GOOGL,UW,Alphabet公司,ALPHABET INC-CL A
WBA,UW,沃博聯公司,WALGREENS BOOTS ALLIANCE INC
AMD,UW,超微半導體公司,ADVANCED MICRO DEVICES
